Date,PageName,"Post_ID",type,"Number_of_comments","Number_of_shares","Likes.total_likes","Likes.Angry"
"Mar 30, 2020 @ 11:56:32.000","Benny Gantz",517093355634728,post,0,47,"2,327",141
"Mar 30, 2020 @ 10:11:11.000","Naftali Bennett",231345481564853,"live post",0,111,0,0
"Mar 30, 2020 @ 10:08:34.000","Rafi Peretz",643820263069431,post,0,2,51,0
"Mar 30, 2020 @ 09:00:17.000","Nitzan Horowitz",507640499902992,"live post",0,10,0,0
"Mar 30, 2020 @ 08:44:15.000","Ehud Barak",3136107466421508,post,0,279,"2,111",1
"Mar 30, 2020 @ 08:15:09.000","Miri Regev",269188434094391,post,0,142,"1,445",0
"Mar 30, 2020 @ 08:07:07.000","Yair Lapid",3018895214835476,post,0,"1,800","8,884","1,491"
"Mar 30, 2020 @ 07:55:25.000","Naftali Bennett",2978985255456456,post,0,858,"10,878",61
"Mar 30, 2020 @ 07:46:20.000","Moshe Feiglin",2895194300559666,post,0,42,603,0
"Mar 30, 2020 @ 05:33:14.000","Naftali Bennett",2978806118807703,post,0,312,"6,597",1
"Mar 30, 2020 @ 05:00:09.000","Gabi Ashkenazi",534894460766790,post,0,244,"1,739",31
"Mar 29, 2020 @ 20:58:21.000","Nitzan Horowitz",10158365837771340,post,0,66,"1,942",3
"Mar 29, 2020 @ 19:55:26.000","Benny Gantz",516749399002457,post,0,354,"4,595",105
"Mar 29, 2020 @ 19:30:14.000","Naftali Bennett",2977938938894421,post,0,45,"3,662",10
"Mar 29, 2020 @ 18:55:04.000","Miri Regev",2541390496178994,"live post",0,70,0,0
"Mar 29, 2020 @ 18:10:41.000","Naftali Bennett",2977805652241083,post,0,185,"4,041",3
"Mar 29, 2020 @ 17:36:10.000","Tamar Zandberg",1879972678799557,post,0,180,"1,826",51
"Mar 29, 2020 @ 17:16:16.000","Benny Gantz",516670995676964,post,0,28,"2,930",252
"Mar 29, 2020 @ 16:27:12.000","Ayelet Shaked",2756335854484823,post,0,73,"2,368",48
"Mar 29, 2020 @ 16:12:46.000","Yair Lapid",3017476254977372,"page-update post",0,68,"5,080",7
"Mar 29, 2020 @ 15:59:22.000","Naftali Bennett",2977552645599717,post,0,74,"5,601",11
"Mar 29, 2020 @ 15:33:32.000","Ehud Barak",3134405373258384,post,0,159,"1,228",5
"Mar 29, 2020 @ 15:11:33.000","Aryeh Deri",2741143219272465,post,0,88,718,1
"Mar 29, 2020 @ 15:05:52.000","Rafi Peretz",643312306453560,post,0,15,715,1
"Mar 29, 2020 @ 14:58:13.000","Stav Shaffir",2656952794524623,post,0,245,"1,173",40
"Mar 29, 2020 @ 14:36:43.000","Itamar Ben-Gvir",1220663684802636,post,0,31,628,0
"Mar 29, 2020 @ 14:24:03.000","Nitzan Horowitz",10158364368656340,post,0,58,486,1
"Mar 29, 2020 @ 13:51:39.000","Naftali Bennett",2977299115625070,post,0,139,"1,738",2
"Mar 29, 2020 @ 13:36:43.000","Yair Lapid",3017158018342529,post,0,267,"9,268",19
"Mar 29, 2020 @ 13:15:53.000","Moshe Feiglin",2893495820729514,post,0,13,"1,287",1
"Mar 29, 2020 @ 13:02:13.000","Ayelet Shaked",2755969454521463,post,0,157,"1,979",2
"Mar 29, 2020 @ 12:27:12.000","Stav Shaffir",2656835284536374,post,0,76,"1,227",89
"Mar 29, 2020 @ 12:25:54.000","Miri Regev",242293070280950,post,0,95,"1,376",5
"Mar 29, 2020 @ 12:19:09.000","Merav Michaeli",3085238501499835,post,0,20,589,1
"Mar 29, 2020 @ 11:30:32.000","Itamar Ben-Gvir",1220550148147323,post,0,36,212,0
"Mar 29, 2020 @ 10:50:10.000","Ayelet Shaked",2755764164541992,post,0,41,708,0
"Mar 29, 2020 @ 09:40:57.000","Naftali Bennett",748816502315648,"live post",0,185,0,0
"Mar 29, 2020 @ 08:39:33.000","Ehud Barak",3133672539998334,post,0,617,"3,625",1
"Mar 29, 2020 @ 07:56:24.000","Naftali Bennett",2976709615684020,post,0,142,"2,322",1
"Mar 29, 2020 @ 07:01:43.000","Miri Regev",1524392237718595,"live post",0,23,0,0
"Mar 29, 2020 @ 06:41:12.000","Moshe Feiglin",2892930077452755,post,0,382,"1,201",4
"Mar 28, 2020 @ 20:27:59.000","Naftali Bennett",2975698165785165,post,0,72,"2,549",4
"Mar 28, 2020 @ 19:24:27.000","Benny Gantz",516109889066408,post,0,151,"11,053","1,035"
"Mar 28, 2020 @ 18:25:03.000","Avigdor Liberman",3180403265305933,post,0,300,"3,733",20
"Mar 28, 2020 @ 17:30:46.000","Aryeh Deri",2739110986142355,post,0,73,"1,409",0
"Mar 28, 2020 @ 17:21:20.000","Miri Regev",2865831133513683,post,0,39,"2,482",2
"Mar 28, 2020 @ 17:13:22.000","Yair Lapid",3015265071865157,post,0,182,"3,679",17
"Mar 28, 2020 @ 17:07:46.000","Benjamin Netanyahu",10157210510782076,post,0,"1,300","19,008",13
"Mar 28, 2020 @ 16:55:12.000","Benjamin Netanyahu",10157210465742076,post,0,"1,800","39,144",21
"Mar 28, 2020 @ 16:35:44.000","Merav Michaeli",3083273655029653,post,0,240,"1,839",7
"Mar 28, 2020 @ 13:56:58.000","Yair Lapid",3014892995235698,post,0,137,"2,770",12
"Mar 28, 2020 @ 08:20:09.000","Nitzan Horowitz",10158359437186340,post,0,80,778,10
"Mar 28, 2020 @ 08:16:34.000","Yair Lapid",3014322358626095,post,0,212,"2,150",6
"Mar 27, 2020 @ 18:01:35.000","Yair Lapid",3013016858756645,post,0,106,"1,155",0
"Mar 27, 2020 @ 15:36:11.000","Naftali Bennett",2972887952732853,post,0,13,"5,416",1
"Mar 27, 2020 @ 15:11:03.000","Benjamin Netanyahu",10157206825547076,post,0,"1,200","58,181",14
"Mar 27, 2020 @ 15:05:19.000","Naftali Bennett",2972828946072087,post,0,73,"3,115",0
"Mar 27, 2020 @ 14:42:30.000","Naftali Bennett",2972785309409784,post,0,81,"4,785",0
"Mar 27, 2020 @ 13:32:22.000","Miri Regev",2863264093770387,post,0,131,"2,168",3
"Mar 27, 2020 @ 12:03:37.000","Naftali Bennett",2972469532774695,post,0,31,"3,854",2
"Mar 27, 2020 @ 11:57:08.000","Nitzan Horowitz",10158355684366340,post,0,68,795,3
"Mar 27, 2020 @ 11:52:22.000","Benny Gantz",515174342493296,post,0,"1,400","33,618","2,156"
"Mar 27, 2020 @ 11:43:14.000","Ayelet Shaked",2751601451624930,post,0,41,"1,556",1
"Mar 27, 2020 @ 11:33:35.000","Yair Lapid",3012240205500977,post,0,786,"10,805",39
"Mar 27, 2020 @ 11:20:21.000","Itamar Ben-Gvir",1219008931634778,post,0,50,"1,180",11
"Mar 27, 2020 @ 10:25:35.000","Ayelet Shaked",2751487904969618,post,0,47,"1,930",0
"Mar 27, 2020 @ 10:24:15.000","Naftali Bennett",2972297539458561,post,0,184,"8,019",1
"Mar 27, 2020 @ 10:17:38.000","Benjamin Netanyahu",10157206138757076,post,0,680,"6,800",3
"Mar 27, 2020 @ 09:45:09.000","Ehud Barak",3128991873799734,post,0,"1,500","5,916",54
"Mar 27, 2020 @ 09:15:25.000","Naftali Bennett",2972196989468616,post,0,204,"5,133",1
"Mar 27, 2020 @ 08:03:11.000","Aryeh Deri",2735939806459473,post,0,111,"3,312",0
"Mar 27, 2020 @ 06:22:03.000","Moshe Feiglin",2888505877895175,post,0,10,516,0
"Mar 26, 2020 @ 22:45:32.000","Naftali Bennett",2971307359557579,post,0,352,"7,604",1
"Mar 26, 2020 @ 22:13:47.000","Benny Gantz",514779409199456,post,0,356,"22,865","1,988"
"Mar 26, 2020 @ 20:33:19.000","Bezazel Smotrich",1583474581806913,post,0,5,169,0
"Mar 26, 2020 @ 20:32:28.000","Miri Regev",993632147698606,"live post",0,96,0,0
"Mar 26, 2020 @ 20:06:10.000","Benny Gantz",514675595876504,post,0,212,"19,451","2,022"
"Mar 26, 2020 @ 19:51:33.000","Yair Lapid",3010823038976027,post,0,931,"9,993",115
"Mar 26, 2020 @ 19:29:03.000","Miri Regev",693789424733839,"live post",0,18,0,0
"Mar 26, 2020 @ 19:28:26.000","Moshe Bogie Ya'alon",3180423631990793,post,0,339,"3,390",46
"Mar 26, 2020 @ 19:15:22.000","Naftali Bennett",2970956819592633,post,0,147,"6,918",0
"Mar 26, 2020 @ 18:43:23.000","Itamar Ben-Gvir",1218493651686306,post,0,7,204,0
"Mar 26, 2020 @ 18:41:12.000","Yair Lapid",3010690068989324,post,0,712,"15,209",83
"Mar 26, 2020 @ 18:04:35.000","Benny Gantz",662344477923751,"live post",0,272,0,0
"Mar 26, 2020 @ 17:37:38.000","Gabi Ashkenazi",532314191024817,post,0,222,"10,595","1,204"
"Mar 26, 2020 @ 17:36:01.000","Naftali Bennett",2970780169610298,post,0,78,969,0
"Mar 26, 2020 @ 17:12:47.000","Yair Lapid",3010486252343039,post,0,287,"9,253",12
"Mar 26, 2020 @ 16:59:26.000","Miri Regev",2861468560616607,post,0,226,"4,905",4
"Mar 26, 2020 @ 16:46:54.000","Benny Gantz",514480385896025,"pinned post",0,658,"24,880","3,487"
"Mar 26, 2020 @ 16:16:03.000","Rafi Peretz",641332186651572,post,0,2,35,1
"Mar 26, 2020 @ 15:38:56.000","Stav Shaffir",2653570154862887,post,0,132,"2,412",29
"Mar 26, 2020 @ 15:13:52.000","Nitzan Horowitz",10158352006211340,post,0,186,"2,571",75
"Mar 26, 2020 @ 15:04:57.000","Merav Michaeli",3078067622216923,post,0,"2,700","9,354",478
"Mar 26, 2020 @ 14:59:02.000","Moshe Feiglin",603248343559424,"live post",0,23,0,0
"Mar 26, 2020 @ 14:05:27.000","Rafi Peretz",641258233325634,post,0,24,"1,075",4
"Mar 26, 2020 @ 13:47:52.000","Naftali Bennett",2970334566321525,post,0,32,"2,596",0
"Mar 26, 2020 @ 13:47:00.000","Nitzan Horowitz",10158351767521340,post,0,29,633,0
"Mar 26, 2020 @ 13:45:47.000","Miri Regev",2861091163987680,post,0,244,"4,446",16
"Mar 26, 2020 @ 13:19:52.000","Aryeh Deri",2734007979985989,post,0,217,"2,923",0
"Mar 26, 2020 @ 11:54:38.000","Naftali Bennett",2970122109676104,post,0,34,"3,361",0
"Mar 26, 2020 @ 11:46:14.000","Itzik Shmuli",2760567197331182,post,0,13,182,17
"Mar 26, 2020 @ 11:44:03.000","Moshe Bogie Ya'alon",3179474575419032,post,0,159,"2,025",36
"Mar 26, 2020 @ 10:40:59.000","Bezazel Smotrich",1583043528516685,post,0,20,304,1
"Mar 26, 2020 @ 10:01:34.000","Gabi Ashkenazi",532048577718045,post,0,129,"3,050",36
"Mar 26, 2020 @ 10:00:03.000","Naftali Bennett",213100836459404,"live post",0,58,0,0
"Mar 26, 2020 @ 09:41:28.000","Tamar Zandberg",1876496755813816,post,0,443,"2,594",52
"Mar 26, 2020 @ 09:13:22.000","Itamar Ben-Gvir",1218150295053975,post,0,4,114,0
"Mar 26, 2020 @ 08:56:05.000","Benny Gantz",514152622595468,post,0,593,"5,656",137
"Mar 26, 2020 @ 08:48:20.000","Rafi Peretz",641101283341329,post,0,5,113,0
"Mar 26, 2020 @ 08:28:42.000","Benjamin Netanyahu",10157202528787076,post,0,"2,000","13,389",10
"Mar 26, 2020 @ 08:13:32.000","Miri Regev",2860563144040482,post,0,78,"1,388",2
"Mar 26, 2020 @ 08:05:21.000","Nitzan Horowitz",2547434658909272,"live post",0,59,0,0
"Mar 26, 2020 @ 07:34:48.000","Rafi Peretz",641070946677696,post,0,5,32,0
"Mar 26, 2020 @ 06:58:09.000","Naftali Bennett",2969699166385065,post,0,207,"9,162",0
"Mar 25, 2020 @ 22:40:14.000","Itamar Ben-Gvir",1217835511752120,post,0,57,555,84
"Mar 25, 2020 @ 21:37:21.000","Benjamin Netanyahu",10157201160522076,post,0,"1,100","11,638",2
"Mar 25, 2020 @ 19:49:23.000","Benny Gantz",513840382626692,post,0,484,"9,052",84
"Mar 25, 2020 @ 19:38:06.000","Miri Regev",676096549810587,"live post",0,44,0,0
"Mar 25, 2020 @ 19:16:00.000","Benjamin Netanyahu",10157200699567076,post,0,"1,300","15,302",20
"Mar 25, 2020 @ 18:53:17.000","Naftali Bennett",2968580309830284,post,0,30,"2,481",0
"Mar 25, 2020 @ 18:45:34.000","Benjamin Netanyahu",10157200601802076,post,0,279,"5,380",7
"Mar 25, 2020 @ 18:32:25.000","Yair Lapid",3008314309226900,post,0,228,"2,821",2
"Mar 25, 2020 @ 18:30:26.000","Moshe Feiglin",2885144664897963,post,0,189,"1,584",1
"Mar 25, 2020 @ 18:04:09.000","Naftali Bennett",2968486143173034,post,0,73,"7,851",1
"Mar 25, 2020 @ 16:54:16.000","Ehud Barak",3124989684199953,post,0,668,"3,356",30
"Mar 25, 2020 @ 16:00:14.000","Naftali Bennett",2968235856531396,post,0,17,"1,288",1
"Mar 25, 2020 @ 15:52:24.000","Aryeh Deri",2731951433524977,post,0,555,"10,046",24
"Mar 25, 2020 @ 15:34:38.000","Nitzan Horowitz",10158347886586340,post,0,33,556,0
"Mar 25, 2020 @ 15:23:55.000","Bezazel Smotrich",1582320031922368,post,0,6,175,1
"Mar 25, 2020 @ 15:01:55.000","Ehud Barak",3124765597555695,post,0,276,"1,988",2
"Mar 25, 2020 @ 14:12:01.000","Naftali Bennett",2968035106551471,post,0,77,"1,565",0
"Mar 25, 2020 @ 14:02:46.000","Ehud Barak",3124642840901304,post,0,277,"1,830",13
"Mar 25, 2020 @ 14:00:27.000","Miri Regev",642301819885010,"live post",0,17,0,0
"Mar 25, 2020 @ 12:49:45.000","Itzik Shmuli",2758386830882552,post,0,88,647,5
"Mar 25, 2020 @ 12:38:14.000","Benjamin Netanyahu",10157199531312076,post,0,984,"9,646",10
"Mar 25, 2020 @ 11:47:22.000","Benjamin Netanyahu",10157199416847076,post,0,"1,400","12,968",6
"Mar 25, 2020 @ 11:42:42.000","Moshe Bogie Ya'alon",3177043075662182,post,0,325,"2,563",96
"Mar 25, 2020 @ 11:38:15.000","Benjamin Netanyahu",10157199396592076,post,0,671,"10,354",11
"Mar 25, 2020 @ 11:29:06.000","Bezazel Smotrich",1582145001939871,post,0,37,808,4
"Mar 25, 2020 @ 11:26:37.000","Bezazel Smotrich",1582141855273519,post,0,4,477,1
"Mar 25, 2020 @ 11:17:46.000","Benny Gantz",513585232652207,post,0,415,"8,871",66
"Mar 25, 2020 @ 10:55:49.000","Merav Michaeli",253895505624143,"live post",0,69,0,0
"Mar 25, 2020 @ 10:41:24.000","Yair Lapid",3007451945979803,post,0,328,"5,329",62
"Mar 25, 2020 @ 10:29:49.000","Bezazel Smotrich",1582103311944040,post,0,8,298,0
"Mar 25, 2020 @ 10:28:30.000","Itamar Ben-Gvir",1217400681795603,post,0,30,493,0
"Mar 25, 2020 @ 10:23:27.000","Nitzan Horowitz",10158347036336340,post,0,"1,600","7,313",171
"Mar 25, 2020 @ 10:23:14.000","Bezazel Smotrich",1582098665277838,post,0,5,196,1
"Mar 25, 2020 @ 10:10:33.000","Bezazel Smotrich",1582091275278577,post,0,42,"1,599",10
"Mar 25, 2020 @ 10:08:10.000","Naftali Bennett",205808360842417,"live post",0,72,0,0
"Mar 25, 2020 @ 09:34:59.000","Miri Regev",2858422860921177,post,0,"1,400","8,829",939
"Mar 25, 2020 @ 09:31:39.000","Naftali Bennett",2967555409932774,post,0,175,"7,773",0
"Mar 25, 2020 @ 09:15:18.000","Ehud Barak",3124166104282311,post,0,401,"2,242",7
"Mar 25, 2020 @ 08:44:41.000","Rafi Peretz",640413123410145,post,0,4,32,0
"Mar 25, 2020 @ 08:37:22.000","Ehud Barak",3124112104287711,post,0,"1,100","3,955",40
"Mar 25, 2020 @ 08:34:02.000","Moshe Feiglin",2884154064997023,post,0,58,931,4
"Mar 25, 2020 @ 08:26:27.000","Benjamin Netanyahu",10157199074127076,post,0,125,"7,415",20
"Mar 25, 2020 @ 08:24:05.000","Aryeh Deri",2731177913602329,post,0,226,"3,455",2
"Mar 25, 2020 @ 08:14:19.000","Nitzan Horowitz",222697872177192,"live post",0,45,0,0
"Mar 25, 2020 @ 07:22:02.000","Yair Lapid",3007172602674404,post,0,"1,200","9,975",14
"Mar 25, 2020 @ 06:16:19.000","Yair Lapid",3007085769349754,post,0,154,"3,162",15
"Mar 25, 2020 @ 06:02:15.000","Naftali Bennett",2967280363293612,post,0,533,"4,179",2
"Mar 24, 2020 @ 22:32:43.000","Naftali Bennett",2966631843358464,post,0,172,"9,681",2
"Mar 24, 2020 @ 21:00:57.000","Ayelet Shaked",2745965195521889,post,0,115,"1,022",7
"Mar 24, 2020 @ 20:52:59.000","Ayelet Shaked",2745951992189876,post,0,60,218,0
"Mar 24, 2020 @ 20:24:08.000","Miri Regev",237155834076500,"live post",0,180,0,0
"Mar 24, 2020 @ 19:31:26.000","Miri Regev",209904983435479,"live post",0,22,0,0
"Mar 24, 2020 @ 19:04:43.000","Naftali Bennett",2966294556725526,post,0,105,"1,947",11
"Mar 24, 2020 @ 18:18:10.000","Benjamin Netanyahu",10157196747862076,post,0,"3,400","19,314",261
"Mar 24, 2020 @ 17:33:20.000","Benjamin Netanyahu",10157196581982076,post,0,797,"15,453",7
"Mar 24, 2020 @ 17:31:18.000","Naftali Bennett",2966124050075910,post,0,69,"4,210",1
"Mar 24, 2020 @ 17:16:49.000","Merav Michaeli",3072933689396983,post,0,133,"2,274",7
"Mar 24, 2020 @ 16:44:04.000","Moshe Bogie Ya'alon",3175252559174567,post,0,122,"2,309",68
"Mar 24, 2020 @ 16:29:24.000","Benny Gantz",513120549365342,post,0,950,"11,375",139
"Mar 24, 2020 @ 16:28:31.000","Gabi Ashkenazi",530830497839853,post,0,138,"2,788",16
"Mar 24, 2020 @ 16:28:29.000","Ayelet Shaked",2745498888901853,post,0,171,"4,252",0
"Mar 24, 2020 @ 16:28:24.000","Benjamin Netanyahu",10157196290892076,post,0,"1,000","4,965",206
"Mar 24, 2020 @ 16:10:01.000","Benjamin Netanyahu",10157196240912076,post,0,482,"3,130",509
"Mar 24, 2020 @ 16:05:13.000","Nitzan Horowitz",10158343884656340,post,0,546,"6,196",4
"Mar 24, 2020 @ 15:57:14.000","Rafi Peretz",639949016789889,post,0,5,29,0
"Mar 24, 2020 @ 15:49:57.000","Benny Gantz",513086899368707,post,0,"1,100","13,304",64
"Mar 24, 2020 @ 15:48:38.000","Miri Regev",683404815804212,"live post",0,109,0,0
"Mar 24, 2020 @ 15:30:08.000","Itamar Ben-Gvir",1216824118519926,post,0,76,647,104
"Mar 24, 2020 @ 14:58:42.000","Miri Regev",2856725807757549,post,0,561,"3,342",229
"Mar 24, 2020 @ 12:50:12.000","Naftali Bennett",2965545243467124,post,0,53,"1,778",1
"Mar 24, 2020 @ 12:31:07.000","Ayelet Shaked",2745049698946772,post,0,79,941,2
"Mar 24, 2020 @ 11:38:55.000","Benjamin Netanyahu",10157195488022076,post,0,663,"18,981",45
"Mar 24, 2020 @ 11:23:05.000","Miri Regev",2856269504469846,post,0,489,"5,412",50
"Mar 24, 2020 @ 09:51:53.000","Naftali Bennett",1272905919569965,"live post",0,96,0,0
"Mar 24, 2020 @ 09:00:00.000","Benjamin Netanyahu",10157195198107076,post,0,"5,000","17,658","5,141"
"Mar 24, 2020 @ 08:56:09.000","Tamar Zandberg",1874443359352489,post,0,79,"1,085",20
"Mar 24, 2020 @ 08:46:47.000","Yair Lapid",3004976796227318,post,0,484,"3,339",236
"Mar 24, 2020 @ 06:58:56.000","Moshe Feiglin",2881846895227740,post,0,307,891,29
"Mar 24, 2020 @ 06:56:30.000","Ayelet Shaked",2744555558996186,post,0,275,"7,638",0
"Mar 24, 2020 @ 06:29:51.000","Benny Gantz",512831766060887,post,0,468,"14,395",80
"Mar 24, 2020 @ 06:07:03.000","Itzik Shmuli",2755513117836590,post,0,99,690,4
"Mar 23, 2020 @ 22:19:14.000","Bezazel Smotrich",1580709545416750,post,0,41,"1,143",4
"Mar 23, 2020 @ 22:11:40.000","Bezazel Smotrich",1580703765417328,post,0,10,203,0
"Mar 23, 2020 @ 20:58:45.000","Naftali Bennett",2964165923605056,post,0,31,"2,658",5
"Mar 23, 2020 @ 20:22:13.000","Ehud Barak",3120678824631039,post,0,451,"3,154",12
"Mar 23, 2020 @ 19:48:56.000","Bezazel Smotrich",1580616328759405,post,0,4,129,0
"Mar 23, 2020 @ 19:41:34.000","Benjamin Netanyahu",10157193278247076,post,0,892,"15,684",31
"Mar 23, 2020 @ 19:16:51.000","Benny Gantz",512553462755384,post,0,702,"8,427",142
"Mar 23, 2020 @ 19:01:49.000","Yair Lapid",3003745206350477,post,0,"1,300","6,491",132
"Mar 23, 2020 @ 19:01:08.000","Naftali Bennett",2963967606958221,post,0,52,"3,105",0
"Mar 23, 2020 @ 18:53:10.000","Ayelet Shaked",2743564359095306,post,0,151,"1,470",5
"Mar 23, 2020 @ 18:02:31.000","Rafi Peretz",639322130185911,post,0,17,150,1
"Mar 23, 2020 @ 17:38:04.000","Benjamin Netanyahu",10157192885657076,post,0,704,"15,789",13
"Mar 23, 2020 @ 17:33:41.000","Moshe Feiglin",2880678808677882,post,0,7,669,0
"Mar 23, 2020 @ 17:14:57.000","Benny Gantz",512473412763389,post,0,"1,900","14,788",73
"Mar 23, 2020 @ 16:59:59.000","Yair Lapid",3003518213039843,post,0,511,"3,519",432
"Mar 23, 2020 @ 16:53:28.000","Benjamin Netanyahu",10157192739532076,post,0,260,"9,312",2
"Mar 23, 2020 @ 15:37:09.000","Gabi Ashkenazi",530054504584119,post,0,523,"4,092",52
"Mar 23, 2020 @ 15:24:28.000","Miri Regev",2854533771310086,post,0,"3,500","7,743",48
"Mar 23, 2020 @ 15:17:57.000","Avigdor Liberman",3167822473230679,post,0,82,"1,425",25
"Mar 23, 2020 @ 14:49:39.000","Itzik Shmuli",2754133627974539,post,0,323,"1,008",137
"Mar 23, 2020 @ 14:27:42.000","Benjamin Netanyahu",10157192284412076,post,0,"1,000","22,760",19
"Mar 23, 2020 @ 14:05:07.000","Itamar Ben-Gvir",1216008718601466,post,0,24,296,6
"Mar 23, 2020 @ 13:52:47.000","Merav Michaeli",3070047199685632,post,0,169,"1,079",8
"Mar 23, 2020 @ 13:51:53.000","Stav Shaffir",2650258115194091,post,0,89,534,2
"Mar 23, 2020 @ 13:11:42.000","Merav Michaeli",3069969406360078,post,0,109,"1,061",13
"Mar 23, 2020 @ 13:10:20.000","Benjamin Netanyahu",10157192081252076,post,0,"5,000","15,669","2,063"
"Mar 23, 2020 @ 13:08:56.000","Bezazel Smotrich",1580311208789917,post,0,155,"1,174",46
"Mar 23, 2020 @ 13:06:28.000","Ehud Barak",3119835154715406,post,0,454,"2,874",14
"Mar 23, 2020 @ 12:41:49.000","Nitzan Horowitz",10158339219741340,post,0,556,"1,188",128
"Mar 23, 2020 @ 12:30:50.000","Amir Peretz",2933757590020886,post,0,449,"3,011",55
"Mar 23, 2020 @ 12:12:42.000","Ayelet Shaked",2742863049165437,post,0,266,"3,110",17
"Mar 23, 2020 @ 11:41:35.000","Aryeh Deri",2727066424013478,post,0,334,"5,605",4
"Mar 23, 2020 @ 11:35:59.000","Miri Regev",521969132034884,"live post",0,93,0,0
"Mar 23, 2020 @ 11:22:09.000","Bezazel Smotrich",1580241168796921,post,0,28,"1,179",0
"Mar 23, 2020 @ 11:09:03.000","Moshe Bogie Ya'alon",3172295266136963,post,0,488,"3,181",115
"Mar 23, 2020 @ 10:57:33.000","Naftali Bennett",693410008069517,"live post",0,92,0,0
"Mar 23, 2020 @ 09:41:52.000","Benjamin Netanyahu",10157191666142076,post,0,215,"4,367",68
"Mar 23, 2020 @ 09:39:55.000","Yair Lapid",3002722379786093,post,0,413,"4,488",13
"Mar 23, 2020 @ 09:19:03.000","Miri Regev",2853947051368758,"page-update post",0,35,834,4
"Mar 23, 2020 @ 08:53:46.000","Yair Lapid",3002650799793251,post,0,167,"2,367",3
"Mar 23, 2020 @ 08:30:10.000","Ayelet Shaked",2742533115865097,post,0,6,141,0
"Mar 23, 2020 @ 08:15:08.000","Bezazel Smotrich",1580130648807973,post,0,2,275,0
"Mar 23, 2020 @ 08:11:06.000","Naftali Bennett",2962842930404022,post,0,42,"1,278",0
"Mar 23, 2020 @ 06:03:59.000","Rafi Peretz",638960566888734,post,0,7,105,0
"Mar 23, 2020 @ 05:21:54.000","Moshe Feiglin",2879567575455672,post,0,50,283,1
"Mar 22, 2020 @ 21:03:24.000","Benjamin Netanyahu",10157190017647076,post,0,"1,600","19,133",2
"Mar 22, 2020 @ 20:52:33.000","Yair Lapid",3001633723228292,post,0,394,"3,478",28
"Mar 22, 2020 @ 20:25:05.000","Benjamin Netanyahu",10157189880447076,post,0,455,"4,219",565
"Mar 22, 2020 @ 19:59:36.000","Naftali Bennett",2961767040511611,post,0,110,"4,206",1
"Mar 22, 2020 @ 19:57:21.000","Benjamin Netanyahu",10157189783982076,post,0,180,"1,661",0
"Mar 22, 2020 @ 19:29:25.000","Benny Gantz",511916769485720,post,0,420,"4,973",5
"Mar 22, 2020 @ 18:55:49.000","Bezazel Smotrich",1579646142189757,post,0,2,51,0
"Mar 22, 2020 @ 18:32:34.000","Naftali Bennett",2961614647193517,post,0,154,"4,425",1
"Mar 22, 2020 @ 18:23:31.000","Benny Gantz",511874206156643,post,0,472,"9,408",20
"Mar 22, 2020 @ 17:36:33.000","Benjamin Netanyahu",207999753632866,"live post",0,817,0,0
"Mar 22, 2020 @ 17:25:09.000","Benjamin Netanyahu",10157189284202076,post,0,"4,300","33,396",19
